X,Y,id,pk_uid,cod_stz,den_uff,cod_gnz,x_stz,y_stz,tip_gnz,gnz,org,origine,indirizzo,comune,provincia,gestore,categoria,cod_sta,data_agg,data_elab,icon_url
10.4742633771767,44.0449096952962,"1","1",RTT0900895SF,FORNACI DI BARGA,RTT0900895GK,"1618138.318627","4877934.024752","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Stazione n.1,Barga,LU,RFI,bronze,"0100","20190904","20191024",./0.png
10.199423404823,43.9777559455004,"2","2",RTT0900742SF,FORTE DEI MARMI-SERAVEZZA-QUERCETA,RTT0900742GK,"1596227.74","4870118.04","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Aurelia n.351,Seravezza,LU,RFI,silver,"0100","20190904","20191024",./0.png
11.856935073192,43.3686778958452,"3","3",RTT0900226SF,FRASSINETO,RTT0900226GK,"1731503.73","4805736.52","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Localita' Capanne di Rigutino,Arezzo,AR,,,"0200","20190904","20191024",./0.png
10.9335249973142,42.9480503729283,"4","4",RTT0900334SF,GAVORRANO,RTT0900334GK,"1657762.894994","4756873.772865","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Aurelia 25- Loc. Potassa,Gavorrano,GR,RFI,bronze,"0100","20190904","20191024",./0.png
10.5102225706103,44.027597600082,"5","5",RTT0900882SF,GHIVIZZANO-COREGLIA,RTT0900882GK,"1621054.46","4876063.3","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Stazione,Coreglia Antelminelli,LU,RFI,bronze,"0100","20190904","20191024",./0.png
11.8646165146987,43.5267676062903,"6","6",RTT0901998SF,GIOVI,RTT0901998GK,"1731521.99","4823316.4","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Localita' Giovi,Arezzo,AR,TFT,,"0100","20190904","20191024",./0.png
11.0084236678388,42.9154552670054,"7","7",RTT0900080SF,GIUNCARICO,RTT0900080GK,"1663959.731817","4753397.198687","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Via Lupo,Gavorrano,GR,,,"0200","20190904","20191024",./0.png
10.9451967419669,43.652243642227,"8","8",RTT0900085SF,GRANAIOLO,RTT0900085GK,"1656893.76","4835103.56","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0205",estrazione da ctr25k,Piazza Stazione,Empoli,FI,RFI,bronze,"0100","20190904","20191024",./0.png
9.84327929726619,44.4236425166591,"9","9",RTT0902984SF,GRONDOLA,RTT0902984GK,"1567154.8","4919291.03","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,S.C. della Stazione,Pontremoli,MS,,,"0200","20190904","20191024",./0.png
11.1064810927338,42.7673866608527,"10","10",RTT0900280SF,GROSSETO,RTT0900280GK,"1672374.91","4737149.48","0400","variazione di sede/sottopasso (SOT_PAS, COD_SED)","0201",estrazione da ctr10k,Piazza Marconi n.8,Grosseto,GR,Centostazioni,gold,"0100","20190904","20191024",./0.png
